Midascontactid,Createdat,Emailpermissionstatus,Cont.Acq.Src,Email.Src.First,Segment,Segmentsecondary,Email.Acq.Dt,Email.Pref.Ch.Dt,Entry.Point.List,Cont.Acq.Src2,Cont.Acq.Dte,Prod.Buy.Last,Prod.Buy.First,Prod.Buy.Accessories,Prod.Buy.All.In.One.Desktop,Prod.Buy.Desktop,Prod.Buy.Idc,Prod.Buy.Idpd,Prod.Buy.Laptop,Prod.Buy.Servers,Prod.Buy.Software,Prod.Buy.Thnkc,Prod.Buy.Thnkp,Prod.Buy.Warranties,Prod.Buy.Workstation,Prod.Buy.Android.Tablet,Prod.Buy.Windows.Tablet,Prod.Buy.Convertible,Prod.Buy.Android.Os,Prod.Buy.Gaming,Prod.Buy.Windows.Os,Prod.Buy.Gaming.Related,Country,Eml.Sent.Num,Eml.Sent.First.Ts,Eml.Sent.Last.Ts,Eml.Open.Num,Eml.Open.First.Ts,Eml.Open.Last.Ts,Eml.Click.Num,Eml.Click.First.Ts,Eml.Click.Last.Ts,Eml.Bounce.Last.Ts,Eml.Unsub.Last.Ts,Eml.Spam.Last.Ts,Email.Domain,Em.Pref.Status,Em.Pref.Dte,Invalid.Email.Dte,Em.Spamclplt.Dte
1046995728,06/03/2020,I,OOBWIN15,OOBWIN15,CON,,06/03/2020,06/03/2020,|OOBWIN1506|,OOBWIN15,06/03/2020,06/03/2020,06/03/2020,NA,06/03/2020,NA,06/03/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gmail.com,I,06/03/2020,NA,NA
1043717972,26/11/2019,U,SAPCRMSH,,CON,,NA,24/11/2019,|SAPCRMSHIP120501|,SAPCRMSH,24/11/2019,24/11/2019,24/11/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,38,12/12/2019,20/02/2020,32,12/12/2019,18/02/2020,0,NA,NA,NA,NA,NA,yahoo.com,U,24/11/2019,NA,NA
1040159422,26/08/2019,U,OOBWIN15,,CON,,NA,24/08/2019,|OOBWIN1506|,OOBWIN15,24/08/2019,24/08/2019,24/08/2019,NA,NA,NA,NA,24/08/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,3,27/08/2019,24/12/2019,0,NA,NA,0,NA,NA,NA,NA,NA,gmail.com,U,24/08/2019,NA,NA
1045131828,29/12/2019,I,OOBWIN15,OOBWIN15,CON,,28/12/2019,28/12/2019,|OOBWIN1506|,OOBWIN15,28/12/2019,28/12/2019,28/12/2019,NA,28/12/2019,NA,28/12/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,2,29/12/2019,13/01/2020,2,29/12/2019,27/01/2020,0,NA,NA,NA,NA,NA,cbburnet.com,I,28/12/2019,NA,NA
1042579017,06/10/2019,I,OOBWIN15,OOBWIN15,CON,,06/10/2019,06/10/2019,|OOBWIN1506|,OOBWIN15,06/10/2019,06/10/2019,06/10/2019,NA,NA,NA,NA,06/10/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,36,06/10/2019,13/01/2020,1,28/11/2019,28/11/2019,0,NA,NA,NA,NA,NA,aol.com,I,06/10/2019,NA,NA
1038743751,10/06/2019,I,NETMINNG,NETMINNG,CON,,10/06/2019,10/06/2019,|IGNONE20121024|,NETMINNG,10/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,153,10/06/2019,20/02/2020,4,14/06/2019,22/01/2020,1,14/06/2019,14/06/2019,NA,NA,NA,gmail.com,I,10/06/2019,NA,NA
1045512467,10/01/2020,U,OOBWIN15,,CON,,NA,09/01/2020,|OOBWIN1506|,OOBWIN15,09/01/2020,09/01/2020,09/01/2020,NA,NA,NA,NA,09/01/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,1,10/01/2020,25/01/2020,0,NA,NA,0,NA,NA,NA,NA,NA,yahoo.com,U,09/01/2020,NA,NA
1041173150,29/08/2019,I,OOBWIN15,OOBWIN15,CON,,28/08/2019,28/08/2019,|OOBWIN1506|,OOBWIN15,28/08/2019,28/08/2019,28/08/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,4,29/08/2019,24/12/2019,0,NA,NA,0,NA,NA,NA,NA,NA,gmail.com,I,28/08/2019,NA,NA
1046855474,29/02/2020,U,OOBWIN15,,CON,,NA,28/02/2020,|OOBWIN1506|,OOBWIN15,28/02/2020,28/02/2020,28/02/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,msn.com,U,28/02/2020,NA,NA
1039547063,31/07/2019,I,OOBWIN15,OOBWIN15,CON,,30/07/2019,30/07/2019,|OOBWIN1506|,OOBWIN15,30/07/2019,30/07/2019,30/07/2019,NA,NA,NA,NA,30/07/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30/07/2019,US,9,31/07/2019,14/02/2020,1,10/08/2019,10/08/2019,0,NA,NA,NA,NA,NA,gmail.com,I,30/07/2019,NA,NA
1043500659,17/11/2019,I,OOBWIN15,OOBWIN15,CON,,17/11/2019,17/11/2019,|OOBWIN1506|,OOBWIN15,17/11/2019,17/11/2019,17/11/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/11/2019,US,32,17/11/2019,14/02/2020,19,20/11/2019,11/12/2019,0,NA,NA,NA,NA,NA,gmail.com,I,17/11/2019,NA,NA
1003093349,26/07/2019,U,LDRPRELD,,CON,,NA,25/07/2019,|LEADERTECH|OOBWIN1506|,LDRPRELD,24/12/2014,25/07/2019,24/12/2014,NA,NA,NA,NA,25/07/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/12/2014,NA,US,4,21/02/2017,24/12/2019,0,NA,NA,0,NA,NA,NA,NA,NA,gmail.com,U,25/07/2019,NA,NA
1038229191,06/05/2019,I,COMEMS15,COMEMS15,CON,,06/05/2019,07/05/2019,|COMEMS1507|HYBRIS1506|IGNONE20121024|,COMEMS15,06/05/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,gmail.com,I,07/05/2019,NA,NA
1039961729,18/08/2019,U,OOBWIN15,,CON,,NA,17/08/2019,|OOBWIN1506|,OOBWIN15,17/08/2019,17/08/2019,17/08/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/08/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,65,25/11/2019,20/02/2020,55,26/11/2019,19/02/2020,1,28/11/2019,28/11/2019,NA,NA,NA,luc.edu,U,17/08/2019,NA,NA
1039734933,09/08/2019,U,OOBWIN15,,CON,,NA,08/08/2019,|OOBWIN1506|,OOBWIN15,08/08/2019,08/08/2019,08/08/2019,NA,NA,NA,NA,08/08/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,3,09/08/2019,24/12/2019,0,NA,NA,0,NA,NA,NA,NA,NA,gmail.com,U,08/08/2019,NA,NA
1038765314,12/06/2019,U,OOBWIN15,,CON,,NA,11/06/2019,|OOBWIN1506|,OOBWIN15,11/06/2019,11/06/2019,11/06/2019,NA,NA,NA,NA,11/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,3,12/06/2019,24/12/2019,0,NA,NA,0,NA,NA,NA,NA,NA,ondemandestimates.com,U,11/06/2019,NA,NA
